data,id_avaliacao,id_cliente,avaliacao
2022-01-01,123456789,1,Comprei o celular XYZ e estou muito satisfeito com a qualidade da câmera e da tela. O design é moderno e elegante. A bateria dura bastante tempo e o desempenho é excelente. Recomendo!
2022-01-02,234567890,2,"Comprei o notebook ABC e estou muito insatisfeito com a qualidade da tela. As cores são fracas e a resolução é baixa. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-01-03,345678901,3,"Comprei o fone de ouvido DEF e estou neutro em relação ao produto. A qualidade do som é boa, mas o design é simples demais. O preço é justo, mas existem opções melhores no mercado."
2022-01-04,456789012,4,"Comprei o tablet GHI e estou muito insatisfeito com a qualidade da bateria. Ela dura muito pouco tempo e demora muito para carregar. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-01-05,567890123,5,"Comprei o celular JKL e estou neutro em relação ao produto. A qualidade da câmera é boa, mas o design é simples demais. O preço é justo, mas existem opções melhores no mercado."
2022-01-06,678901234,6,"Comprei o notebook MNO e estou muito insatisfeito com a qualidade da bateria. Ela dura muito pouco tempo e demora muito para carregar. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-01-07,789012345,7,Comprei o fone de ouvido PQR e estou muito satisfeito com a qualidade do som. Ele é nítido e potente. O design é moderno e confortável. Recomendo!
2022-01-08,890123456,8,"Comprei o tablet STU e estou muito insatisfeito com a qualidade da tela. As cores são fracas e a resolução é baixa. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-01-09,901234567,9,"Comprei o celular VWX e estou neutro em relação ao produto. A qualidade da câmera é boa, mas o design é simples demais. O preço é justo, mas existem opções melhores no mercado."
2022-01-10,123456780,10,"Comprei o notebook YZA e estou muito insatisfeito com a qualidade da bateria. Ela dura muito pouco tempo e demora muito para carregar. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-01-11,234567891,11,Comprei o fone de ouvido BCD e estou muito satisfeito com a qualidade do som. Ele é nítido e potente. O design é moderno e confortável. Recomendo!
2022-01-12,345678902,12,"Comprei o tablet DEF e estou muito insatisfeito com a qualidade da tela. As cores são fracas e a resolução é baixa. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-01-13,456789013,13,"Comprei o celular GHI e estou neutro em relação ao produto. A qualidade da câmera é boa, mas o design é simples demais. O preço é justo, mas existem opções melhores no mercado."
2022-01-14,567890124,14,"Comprei o notebook JKL e estou muito insatisfeito com a qualidade da bateria. Ela dura muito pouco tempo e demora muito para carregar. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-01-15,678901235,15,Comprei o fone de ouvido MNO e estou muito satisfeito com a qualidade do som. Ele é nítido e potente. O design é moderno e confortável. Recomendo!
2022-01-16,789012346,16,"Comprei o tablet PQR e estou muito insatisfeito com a qualidade da tela. As cores são fracas e a resolução é baixa. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-01-17,890123457,17,"Comprei o celular STU e estou neutro em relação ao produto. A qualidade da câmera é boa, mas o design é simples demais. O preço é justo, mas existem opções melhores no mercado."
2022-01-18,901234568,18,"Comprei o notebook VWX e estou muito insatisfeito com a qualidade da bateria. Ela dura muito pouco tempo e demora muito para carregar. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-01-19,123456791,19,Comprei o fone de ouvido YZA e estou muito satisfeito com a qualidade do som. Ele é nítido e potente. O design é moderno e confortável. Recomendo!
2022-01-20,234567902,20,"Comprei o tablet BCD e estou muito insatisfeito com a qualidade da tela. As cores são fracas e a resolução é baixa. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-01-21,345678913,21,"Comprei o celular DEF e estou neutro em relação ao produto. A qualidade da câmera é boa, mas o design é simples demais. O preço é justo, mas existem opções melhores no mercado."
2022-01-22,456789024,22,"Comprei o notebook GHI e estou muito insatisfeito com a qualidade da bateria. Ela dura muito pouco tempo e demora muito para carregar. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-01-23,567890135,23,Comprei o fone de ouvido JKL e estou muito satisfeito com a qualidade do som. Ele é nítido e potente. O design é moderno e confortável. Recomendo!
2022-01-24,678901246,24,"Comprei o tablet MNO e estou muito insatisfeito com a qualidade da tela. As cores são fracas e a resolução é baixa. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-01-25,789012357,25,"Comprei o celular PQR e estou neutro em relação ao produto. A qualidade da câmera é boa, mas o design é simples demais. O preço é justo, mas existem opções melhores no mercado."
2022-01-26,890123468,26,"Comprei o notebook STU e estou muito insatisfeito com a qualidade da bateria. Ela dura muito pouco tempo e demora muito para carregar. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-01-27,901234579,27,Comprei o fone de ouvido VWX e estou muito satisfeito com a qualidade do som. Ele é nítido e potente. O design é moderno e confortável. Recomendo!
2022-01-28,123456792,28,"Comprei o tablet YZA e estou muito insatisfeito com a qualidade da tela. As cores são fracas e a resolução é baixa. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-01-29,234567903,29,"Comprei o celular BCD e estou neutro em relação ao produto. A qualidade da câmera é boa, mas o design é simples demais. O preço é justo, mas existem opções melhores no mercado."
2022-01-30,345678914,30,"Comprei o notebook DEF e estou muito insatisfeito com a qualidade da bateria. Ela dura muito pouco tempo e demora muito para carregar. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-01-31,456789025,31,Comprei o fone de ouvido GHI e estou muito satisfeito com a qualidade do som. Ele é nítido e potente. O design é moderno e confortável. Recomendo!
2022-02-01,567890136,32,"Comprei o tablet JKL e estou muito insatisfeito com a qualidade da tela. As cores são fracas e a resolução é baixa. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-02-02,678901247,33,"Comprei o celular MNO e estou neutro em relação ao produto. A qualidade da câmera é boa, mas o design é simples demais. O preço é justo, mas existem opções melhores no mercado."
2022-02-03,789012358,34,"Comprei o notebook PQR e estou muito insatisfeito com a qualidade da bateria. Ela dura muito pouco tempo e demora muito para carregar. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-02-04,890123469,35,Comprei o fone de ouvido STU e estou muito satisfeito com a qualidade do som. Ele é nítido e potente. O design é moderno e confortável. Recomendo!
2022-02-05,901234580,36,"Comprei o tablet VWX e estou muito insatisfeito com a qualidade da tela. As cores são fracas e a resolução é baixa. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-02-06,123456793,37,"Comprei o celular YZA e estou neutro em relação ao produto. A qualidade da câmera é boa, mas o design é simples demais. O preço é justo, mas existem opções melhores no mercado."
2022-02-07,234567904,38,"Comprei o notebook BCD e estou muito insatisfeito com a qualidade da bateria. Ela dura muito pouco tempo e demora muito para carregar. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-02-08,345678915,39,Comprei o fone de ouvido DEF e estou muito satisfeito com a qualidade do som. Ele é nítido e potente. O design é moderno e confortável. Recomendo!
2022-02-09,456789026,40,"Comprei o tablet GHI e estou muito insatisfeito com a qualidade da tela. As cores são fracas e a resolução é baixa. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-02-10,567890137,41,"Comprei o celular JKL e estou neutro em relação ao produto. A qualidade da câmera é boa, mas o design é simples demais. O preço é justo, mas existem opções melhores no mercado."
2022-02-11,678901248,42,"Comprei o notebook MNO e estou muito insatisfeito com a qualidade da bateria. Ela dura muito pouco tempo e demora muito para carregar. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-02-12,789012359,43,Comprei o fone de ouvido PQR e estou muito satisfeito com a qualidade do som. Ele é nítido e potente. O design é moderno e confortável. Recomendo!
2022-02-13,890123470,44,"Comprei o tablet STU e estou muito insatisfeito com a qualidade da tela. As cores são fracas e a resolução é baixa. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-02-14,901234581,45,"Comprei o celular VWX e estou neutro em relação ao produto. A qualidade da câmera é boa, mas o design é simples demais. O preço é justo, mas existem opções melhores no mercado."
2022-02-15,123456794,46,"Comprei o notebook YZA e estou muito insatisfeito com a qualidade da bateria. Ela dura muito pouco tempo e demora muito para carregar. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-02-16,234567905,47,Comprei o fone de ouvido BCD e estou muito satisfeito com a qualidade do som. Ele é nítido e potente. O design é moderno e confortável. Recomendo!
2022-02-17,345678916,48,"Comprei o tablet DEF e estou muito insatisfeito com a qualidade da tela. As cores são fracas e a resolução é baixa. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
2022-02-18,456789027,49,"Comprei o celular GHI e estou neutro em relação ao produto. A qualidade da câmera é boa, mas o design é simples demais. O preço é justo, mas existem opções melhores no mercado."
2022-02-19,567890138,50,"Comprei o notebook JKL e estou muito insatisfeito com a qualidade da bateria. Ela dura muito pouco tempo e demora muito para carregar. Além disso, o desempenho é lento e trava com frequência. Não recomendo!"
